Word,ABBR,pronunciation,Meaning
پاس ,ا,, اېرڇه-اېرڇه ایچۉݩ- پړَۇݩ- احترام- لحاظ.
پاسبان ,ا- ص, سْ, اېرڇه- اېرڇه ایچَله- اېرڇه نیشله-اېرڇه نیشنه منښ ښه تچاست.
پاسپورت ,ا- انگ,, سی کتابچه ته تَشو میلي منښ اؤرنگه گولې گې بړیاس.
پاستوریزه ,فر,, زور که میکروب ږݩۉݩ. زوره نیم ساعت ۶۰ – ۶۶ زَرَن که اؤښاو سېاتی مِي گي ۱۰ زَرَن شېله ایچاست.سېتي میلي زور که اوړي میکروب مریݩاست.| زَرَن zaran– دَرجه.
پاسخ ,ا, سُ, تَچَنْ- تَچۉݩ باښ-تَچۉݩ سته-جواب .
پاسخ دادن ,مص, سُ, جواب پْرۉݩ- مېلو به أښېوو مېله تَوُݩ.
پاسدار ,ص- فا, سْ, اېرڇه-اېرڇه ایچَله- پهره.
 پاس داشتن ,مص,, اېرڇه ایچۉݩ- اېرڇه اؤتیۉݩ-کۉمه بوسته زڙݩۉݩ.
پاسره ,ا, سْ, لَسَۇݩ- اگلَۇݩ.
پاسگاه ,ا, سْ, اېرڇه کۉݩټ- اېرڇه اؤتیۉݩ ټاو- اېرڇه نیشۉݩ ټاو. نؤشت کلښه دېش اېرڇۉݩ ښه کۉݩټ که اوي گی اېرڇه نیشاسئت. تِی کۉݩټ دؤ پۉر اؤتله اوړیت.
پاسیفیک ,ا- انگ,, اۊله اوقیانوس- جیجَله بَحر-بحر آرام. سْکه بحر به ویشتي بار ۱۷۵ کیلومتر- اۉتل گي ۳۸۷۰ متر او. سْکه بَحر اسیا براعظم – ی استرالیا- امریکا براعظم که زگېاس.
پاش ,ا,, وېپه- ويږݩ-پْرَوا.
پاشان ,ص,, پْرَوا- پْرَوا بۊ سته-ویږاݩ گوسته-وېپه.
پاشان کردن ,مص,, پْرَوا ایچۉݩ-وېپه ایچۉݩ- ویږݩۉݩ.
پاش پاش شدن ,مص,, پیڅه پیڅه بۉݩ- ویڅکال بۉݩ. پیڅه پیڅه بۉݩ لَتري ښه- ویڅکال بۉݩ گي منښ ښه تَچاݩ گېاس.
پاش دادن ,مص,, پانَشۉݩ- بي دَتیاست سَت که پانَشۉݩ- ویږݩۉݩ- بي دَتۉݩ.
پاشنه ,ا, شْ, کؤټوي- کؤر به کؤټوي-بوټ به کؤټوي.
پاشیدن ,مص,, پانَشۉݩ- سؤدؤ سؤدؤ که پا نَشۉݩ- بي دِتیاست سَت که پانَشۉݩ.
پاغند-پاغنده ,ا, غُ, دۉک پوچ.
پافشاری ,ا, فِ, ښېي وَڇۉݩ- ښېي ښېي کرَۇݩ- پَمپَلۉݩ- بَگړه بۉݩ-بَگړه بِي پېکڅۉݩ-اېک مېلو که ښَک چَچۉݩ- یا نه بۉݩ-چَم چام تیۉݩ.کؤشلاݩ به مېله او:  چَم چام تیلاݩ چام- گۉچي گۉچي تیلاݩ گۉچي.
پافشردن ,مص, فِ- شُ, کوڙݩ مېلو که اؤتیۉݩ- تَنؤ مېلو که نه مۉکۉݩ- کوڙݩ مېلو که نه سْرکۉݩ.
پاک ,ا- ص, کْ, سؤچه- مۉل وِې آسته- مۉل نه اوده سته-آکوۋ. پؤلۉݩ- نیجۉݩ- شؤنۉݩ- اَمي کویدؤم کوڙݩ ته لَتري سُؤچه بیاس. سُؤچو به اېک اؤرنگه معنا دي او. | سُؤچه süčə– پاک-صفا.این کلمه برای گروه جن وعِفریت ها هم استعمال می شود. مثلاً:  گفته می شود- سُؤچه اوده süčə odə – جای که درآنجا عِفریت ها وجود دارد- جای که درآنجا جن ها هستند.سؤچه بۊ- süčə bö پاک شد-صفا شد. | آکوۋ ākov– پاک- سوتره- نظیف.این کلمه بیشتر برای نظافت اطفال به کار برده می شود.
پاک اندیش ,ص- فا,, بوسته بینن اوده.
پاک باختن ,مص,, بوڙ بۉݩ- څْکاݩۉݩ- سپروک لَسۉݩ.
پاک بین ,ص- فا,,بوسته بینن اوده- بوسته فکر اوده.
پاکت ,ا, کَ, کاغذ کۉتۉک- کاغذ به کۉتۉک.
پاکدامن ,ص,, بوسته- ابره کوي نه اودي(مو). اي باښ وَشَمه سَم بوشتي مۊشېݩ ښه تچاست.
پاکدل ,ص, دِ, بوسته بؤړه اوده.
پا کردن ,مص,, دَتۉݩ- أکؤر دَتۉݩ-أپا دَتۉݩ.
پاکزاد ,ص,, بوسته لو- بوسته لو به- بوسته لو به اۉپۉجي شته.
پاک سرشت ,ص, سْ- رِ- شْ, بوسته لو.
پاک شدن ,مص,, اڅؤنیا بۉݩ- ابېربا که اڅؤنیا بۉݩ- سُؤچه بۉݩ-ڇْته بۉݩ.| اڅؤنیا acüniā- برأت- رفع اتهام.
پا کشیدن ,مص,, جیت بېرښَوُݩ- کس مېلو که کؤر بېرښَوُݩ.
پاک کاری ,مص,, شؤنۉݩ.
پاک کردن ,مص,, شؤنۉݩ- پؤلۉݩ- آکوۋ ایچۉݩ-پَښۉݩ. | پَښۉݩ paṣũ- صاف کردن راه آب-پاک کردن جوي-ثبوت نمودن. | آکوۋ ākov– پاک-سوتره-نظیف.
پاک گهر ,ص, گُ, بوسته لو.
پاک نژاد ,ص, نِ, بوسته لو.
پاک نفس ,ص, نَ- فْ, سی جن ته ابره کویدؤم که دوشت نه ویاس.
پاک نویس ,ص,, بوسته که چیترۇݩ-پَتم بوسته که چیتروُݩ.
پاک نهاد ,ص,,بوسته ږۉکدَن اوده-بوسته نیت اوده.
پاکوب ,ص,, مۉري شته- کؤر مۉر کوڙݩسته- پاپا.
پا کوبیدن-پا کوفتن ,مص,, کؤر ویۉݩ- أبؤموۋ کؤر ویۉݩ- بَکۉره چۉد ایچۉݩ.
پاکي ,ق,, سُؤچه بار- ڇتَه بار- آکوۋ بار.
پاکیزه ,ص,, سُؤچه- شُؤني شته- پُۊلې شته- نیجي شته- مۉل نه اوده سته.
پا گرفتن ,مص,, اېک مېلو که اؤتیۉݩ- مېلو که نه سْرکۉݩ- مېله دؤ نه ایچۉݩ.
پالان ,ا,, سِی لَتري ته گدا به ډَکو که پَۍ نَشاو -تَشو که اؤتلاو با پَۍ نَشاست.
پالایش ,ا,, سُؤچه ایچؤݩ-ڇْته ایچۉݩ - مۉل پېسکوُݩ- پاک ایچۉݩ.
پالایشگاه ,ا- ص,, ڇتَه ایچۉݩ ټاو- سُؤچه ایچۉݩ ټاو- مۉل پېسکَوُݩ ټاو. اي باښ وَشَمه سَم نِفت ڇتَه ایچۉݩ ټاو ښه تچاست.
پالش ,ص, لِ, بۉټ ږۉۋݩ- وَڅۍ ږۉۋݩ.
پالک ,ا, لَ, اېک څا به نام او. تَشو به بډرکه نیدلَه سته پوټ تیاس. | بډرکه baḍrkə– پهن- هموار.
پالنگ ,ا, لَ, ږۉۋي پا اوده اۊلَه پرؤݩشت ښه تچاست.
پالوده,ا,, اېک شربَت به نام او.
پالیز , ا,, خربُزه – ی تربوز دَتي تول ښه تچاست.
پالیزبان ,ص- فا, لِ, خربُزه- تربوز به تول اېرڇه.
پالیزکار ,ص- فا, لِ, سی کیښکره ته تَشو به تول که خربُزه- تربوز- بادرنگ دَتیاس. | کیښکره kiṣ karə– دهقان- بذرگر.
پالیسی ,ا- انگ, لِ,ایچۉݩ پۉݩت- ایچۉݩ کویدؤم- ایچۉݩسته سیاسي کویدؤم. خط مشی.
پاليوگرافی ,ا- انگ,, نؤشتره خط زڙݩۉݩ به علم ښه- تچاست.
پالیدن ,مص,, تڙۉݩ- اېڇۉݩ-کس تَيي شته تڙوݩ.
پامال-پایمال ,ص,, کؤر کۊۋ بۊ سته- مۉري شته- کؤر مۉر کوڙݩ سته.
پامال شدن ,مص,, کؤرکۊۋ بۉݩ- کؤر مۉر بۉݩ.
پامال کردن ,مص,, کؤر مۉر ایچۉݩ- کؤر کۊۋ ایچۉݩ.
پامیر ,ا,, بدخشان ولایت به اېک دا گول به نام او. سی اؤتله او ښه- تَشو ښه دنیا به مَله تچاست.
پان ,انگ,, سَپروک-اَډنگ- وَر ټاو به بېر ټا اېشت- اوي ټاو به اۉ ټا اِیشت- سراسري. مثلاً:  پان عرب- پان ترکیزم-پان اسلامیزم.
پانزده ,ا,, پچېݩش (۱۵)
پانسمان ,ا- انگ,, ڇو ترڙۉݩ- ڇو پۊلې دَرؤ دَتي ترڙۉݩ.
پاو ,ا,, اېک چارک به چتاۉم مَټه.
پا ورقی ,ا, وَ- رَ, کتاب به مؤک به اۉ نَشتې پا شرح چیترې شتو ښه- تچاست.
پایاب-پایان آب ,ا,, تِی تول ښه تچاست ته تېݩس ښه اَزا کۍ کݩټو به آو پَتاریېݩ ډَنگیاس-پتاري سار اوده تول. | ډَنگۉݩ ḍaŋũ– رسیدن- وارد شدن. | سار sār– نوبت- عوض.
پایان ,ا,,أنَشت- أنَشت اۉݩ- اټَک- اوشَۇن.
پایان دادن ,مص,, أنَشت نَشۉݩ-اوشَۇݩ.
پایبند ,ا- ص, بَ, ترڙاݩۉݩ- تَنؤ کوڙݩ مېلو که اؤتیۉݩ.
پای بند کرده, اصط, بَ, نه سْرکي کې- پَکؤ تَیي.
پای پاک ,ص,, کؤر شؤنۉ سته- سی لَتري ته أدوۋ کؤر شؤنۉ ښه ایشترياست.
پایپ لاین ,ا,, رَبړ- سمټ- چیمو به سَرزېشته پؤرړي او- تَشو که آو- تیل اِی ټاو به اؤرنگه ټاو گۉرگېاست.
پای پیچ-پایتاوه (زنانه) ,ا,, پَزؤݩ.
پای پیچ-پایتاوه (مردانه),ا,, پَۍ تَوُݩه- کؤر که ترڙۉݩ پَۍ تَوُݩه.
پای پیچلک ,ا, لَ, پَلات- پَلاټ کرَۇݩ-پَلاټ بۉݩ.
پای پیچلک دادن ,مص,, أکؤر کښَۇݩ - پَلاټ کرَۇݩ.
پایتخت ,ا, تَ, پاڇا تینَه- رئیس جمهور نیشنه. سی ټاو ته سېوۋ پاڇا- رئیس جمهور نیشاس.گول به تاݩ. مملکت به مرکز.
پایدار ,ص,, ابره نه باله سته-گبږه سته- چیکنه سته-چیک نه تیله- چیرېشت ابره نه باله.
پایداری ,ق,, دَرکَر. مثلاً:  دَرکَر نه وڙݩوی - دَرکَر نه کري.
پای زیب ,ا,, پَگړَه. سی پَگړَه ته تنمناݩ کؤر که دَتېاست.
پایکوب ,ا,, شېلي وَڇۉݩ اؤندریک- درڙݩ به یۉ وَڇۉݩ اؤندریک- یۉ وَڇۉݩ به لَتري به نام او. |شېلي šeli– برنج. | اؤندریک ündrik– هاوَند- هاوَنگ.
پایکوبی ,ا,, کؤر ویۉݩ-أبؤموۋ کؤر ویۉݩ.ناټ ایچۉݩ ښه دي تچاست.
پایگاه ,ا,, ټاو- نیشۉݩ ټاو-نیشۉݩ اوشتۉݩ ټاو- اېښېي بْن ټاو- اېښېي بۉݩ ټاو.اصطلاح که اؤښمَن ټاو.
پایگاه ,ا,, ښوچ به یار یۉݩت اوده ټاو ښه تچاست
پایمال ,ص,,کؤرمۉر- کؤر کۊۋ- پاپا.
پاینده ,ص- فا,, تیله- تیله سته- چیرېشت تیله.
پايواز ,ص,,نېمیچو وَۍپا ایچَله- نېمیچو به اۊۋ آو ایچَله- بندي به بوي آر کؤدَوَله جن. | وَۍپا ایچۉݩ wai pā ičũ– پرستاری مریض- وارسی مریض.
پایه ,ا,, اؤشتؤݩ- کؤر.
پایه دار ,ص,, اؤشتؤݩ اوده- کؤر اوده سته. مثلاً:  نیشڙݩ- دَپول-اما.
پاییدن ,مص,, تیۉݩ- نه چؤوُݩ-دْڙ ایچۉݩ.
پاییز ,ا,, شَرِېي- شَرېي وار.
پاییزی ,ص- ق,, شَرېي به- شَرېي به اَله پَله- شَرېي کلو به اتراڅله.
پایین ,ق- م,, اۉ- اۉ- ی- اۉتیاݩ.
پایین انداختن ,مص,,اۉ نَشۉݩ.
پایینتر ,ص- ق, تَ, واکوۋ-مؤل که واکوۋ. اۉکوۋ- ټاو که اۉکوۋ.
پایینترین ,ص- ق,, وانَشته- وَاو- سَپروک که وَاو. ټاو که گي اۉنشتېوۋ ښه تچاست.
پایین تنه ,ا, تَ, اۉم وا- ډَکو که اۉ تیاݩ.
پایین کشیدن ,مص,, اۉښَۇݩ- واښَۇݩ- اوي گوسته اۉ ښَۇݩ- پَۍ ناشي با وا ښَۇݩ.
پایینی ,ق,, اۉ- اۉۋڙݩ- اۉوڙݩک.
پت ,ق, پُ, پَړاݩ- چؤن- نه وڙݩالَه- سِی ته نه وڙاݩ گېاس.
پت ,ا, پَ, نیکره کېݩڅ- نیکره وَرک.
پت شدن ,مص, پُ, پَړاݩۉݩ- چؤن بۉݩ- نه وڙاݩۉݩ.
پت کردن ,مص, پُ, پَړَۇݩ- چؤنَۇݩ- نه وڙݩۇݩ.
پت کری-زمچ ,ا, پَ- زَ, سُؤگه.
پتروشیمی ,ا- انگ, پِ," اَمه نِفت میلي کوي اوده علم ښه تچاست. | اَمه- اَمه سته amə , amə stə– خام- نا پخته-تصفیه ناشده."
پترول ,ا- انگ, پِ, سِی تیل ته تَشو مۉټر که – ی ماشین که دَتیاست.
پتک ,ا, پَ- تَ, وَټۉنگ- سِی لَتري ته تَشو میلي درڙݩ ښپیاست.
 پتک ,ا, پَ- تَ, اېک آو ډۉکوک اوړي- تَشو که کي کڙݩ آله بۊت ته آو پَري اويکه گېاسئ. اېرم تَشو به ساری ترموز گورات. | ساری(ق) sāre– به عوض- به جای.
پتکه ,ص, پَ- تَ, ویدۇݩ مېله-اېشتاو تَۇݩ- مېله-اۊله مېله- واښاو نه بَړۉݩ مېله- تؤن پَۍشتېݩ مېله.
پتلون ,ا, پَ, اوټ پرؤسته اوي ښَوُݩ سته لَتري به نام او. نؤشتره رِکابي کلښه پَتلون ښه پَچوټ تچېشته اوت.
پتلون کوتاه ,ا- ص,, پَچوټ.
پتنوس ,ا, پَ, چاینک پیاله تَوُݩ سته لَتري او. کلښه الا که وَشتوک چؤۋيک کۍ وَشتوک کنک تَچۉݩ بیاس.
پتو ,ا, پَ, لؤي- اوَڙݩ ایچۉݩ لؤي- وَۍپا نَشۉݩ لؤي.
پټان ,ا, پَ, هندوستان به مجبي اوگان ښه پَټان تچاست.
پټلي کؤڼ ,ا, ټْ, چیمي دېش به نؤشتره ایشتکاو نام او.
پچ پچ ,اصط, پَ, کرمؤټ مېله- دؤجن به کرمؤټ مېله.
پچق کردن ,مص, پْ- چْ, شۉپۉݩ-اۉ میلَۇݩ.
پخت ,ا, پُ- خْ, پَچْن-پَچؤݩ.
پختن(غذا) ,مص, پُ- تَ, پَچۉݩ- اوناو پَچۉݩ-کان پَچۉݩ.
پخته ,ا, پَ- تَ, دۉک پوچ- سی پوچ ته ښېي اؤڅېݩ- اۉپۉ ایشترۉݩ سته لَتري که پۉنشاست.
پخته ,ص, پُ- تَ, پَچي شته- پچاݩ گوسته-پَکي شته.
پخته سال ,ص, پُ, دۊښټۊ- اؤشتال يوڙݩ سته دۊښټۊ.
پخته شدن(غذا) ,مص, پُ, پَچاݩ اۉݩ-پَچاݩۉݩ.
پخته شدن (میوه جات) ,مص, پُ, پَکۉݩ- اله پلو به پکۉݩ.
پخش ,ص, پَ- خْ, نیمه- نیمه ستوک- اؤتله نه اوړي شته.
پخش ,ا, پَ- خْ, ویږݩ-وېپه.
پخش کردن ,مص, پَ, ویږݩۉݩ- کڙݩ کڙݩ نَشۉݩ-وېپه نَشۉݩ.
پخش شدن ,مص, پَ, وېپه اۉݩ- ویږاݩۉݩ.مثلاً:  دوک به ویږاݩۉݩ. 
پداگوژی- پیداگوژی ,ا- انگ, پِ, تَنمَنه نام پْرۉݩ علم-تَنمَنه سَمَټۉݩ نام پْرۉݩ علم(تعلیم وتربیه) ښه تچاست.
پدر ,ا, پَ, تَته- سی منښ ته جؤ پؤتر اوده او.
پدر اندر ,ص, پَ- دَ- اَ, کناشتي مۊشي دؤۉم گر گې ته- تَشو به نؤشت گر به تنمناݩ ښه اېس به دؤۉم گر به ماچ ښه- تچاست.
پدرانه,ق, پَ, تَتاݩ به سَت- تَتاݩ پْرؤ.
پدرخوانده ,ص,, تَته دامي شته- تَته تَکوڙݩ سته .
پدرخیل (بچه) ,ص- ق,,اېلته پۉنه- مَټه. | اېلته پۉنه = اېلته اۉپۉنه.
پدرخیل عروس ,ص- ق,, تېتي کؤل.
پدرخیل مادر ,ص,, مېلي کؤل-مۊلي.
پدر دار ,ص,, تَته اوده.
پدرود ,ا, پِ, بوېݩ نیش- بوېݩ نیشېݩ تچۉݩ ښه تچاست.
پدر زن -خسر,ا- ص, خُ- سُ, پَشؤر.
پدرکشته ,ص, پَ- کُ, تَته ږڙݩله.
پدرکلان,ا- ص, پَ- کَ, اېلته- تَتو به تَتوس- اېي به تَتوس.
پدر مرده ,ص, پَ- مُ, څاو کوڙ- سی تَنمَنه ته تَشو به تتوس موڙسته او کۍ گي اېس مڙ شتي او.
پدروار ,ص,, تَتو پْرؤ-تَتو به سَت که- تَتاݩ به سَت که.
پدید ,ا,, وڙݩت- وڙݩته.
پدید آمدن,مص,, وڙاݩۉݩ- بېربۉݩ.
پدید آوردن ,مص,, وڙݩوُݩ- سَرزوُݩ- کرَوُݩ-يؤپَۇݩ.
پدیدار ,ص,, وڙاݩله سته.
پذیرا ,ص- فا,, بوي تَچله- اېݩ بَتله- اِییا تَچله.
پذیرایی ,مص,, آش تَچۉݩ- أپۉݩت اۉݩ- اڅله جن ښه أپۉݩت اۉݩ.
پذیرش ,ا,, اېݩ بَتۉݩ- بوي بَتۉݩ- اېښپ بَتۉݩ. | اېښپ eṣp– البته- اګر- ممکن- شاید.مثلاً:  اېښپ بَتیم- البته فکر کردم- ممکن فکر کردم.
پذیرفتن ,مص, پَ- رُ, اترچۉݩ (اترایچۉݩ)- وَکۉݩ- اېݩ بَتۉݩ- بوي بَتۉݩ-بوي تَچۉݩ-پتیۉݩ.| وَکۉݩ wakũ- قبول کردن- پذیرفتن-دِل کردن به کاری.
پر ,ق- ص, پُ, پَر- پَره سته- څَلپیک- أگله اېشت پَر-ټؤکه ټؤک. څړنگه لَتري ښه څَلپیک- ککړه لَتري ښه گي ټؤکه ټؤک تَچاݩ گېاس.
پر,ا, پَ, پَټَۍ- کؤکؤ به نینگڅاݩ به پَټَۍ-پَټَۍ اوداݩ به پَټَۍ.
پر آب,ص, پُ, آو اوده- وَشَمه آو اودهآو پَر.
پرآفت , ص, پُ- فَ, دؤک اوده- دؤکشؤل اوده- ڇْتَکی دؤک.
پرانچه شدن ,مص, پَ, اؤتڼَکۉݩ- نینگڅه کۉڙ به اؤتڼَکۉݩ.
پراچی ,ا, پَ, افغانستان که اوړي الا کنی اېک الا او. سکه الا اوده مجبي- لغمان ولایت فرچغان گول که اوشتیک نیشیک اوده اوت.
پرار سال-پیرار سال ,ق- ز, پِ, ترې څېڅه- پۊۋ نَۍ ترې څېڅه.
پراکریت,ا,, هندوستان به سانسکریت الا که بېر آسته عام بَښو ښه تچاست. تی هندوستان که اۊچؤ بَښه اوت. | بَښه baṣə– لهجه- لهجه زبانی.
پراکندن,مص, پَ, وِېپه ایچۉݩ- وِېپه نَشۉݩ- وِېپه سکَوُݩ- ویږݩۉݩ.اي باښ لَتريݩ ښه تچاݩ گېاس.
پراکنده ,ص- مف, پَ- کَ, وېپه گوسته- وېپه کوڙݩسته- اؤږړي شته- ویږݩ شته-پْرَوا.
پراکنده شدن ,مص, پَ- کَ- دَ, وېپه اۉݩ- اؤږړۉݩ- پْرَوا بۉݩ.
پرآمد و شد ,ص, پُ- شُ, وَشَمه اڅله چؤوَله- وَشَمه چؤۋیک اَڅئک.
پرامید ,ص, پُ- اُ, وَشَمه آښ ایچَله- بۊړيت بَتۉݩ- ږڙ که اچېݩ تَوُݩ- اوته اچېݩ ایچَله.
پراندن ,مص, پَ- دَ, اوشتَوُݩ- نینگڅه اوشتَۇݩ ښه تَچاݩ گېاس.
پرانه ,ص- ق, پُ, ابۊلي- پَلال پُۉجُۉݩ- پَلال پُۉجي شته.
پر آوازه ,ص, پُ, نام چدیشته- نام گوسته.
پر اولاد ,ص, پُ, ږڙ زَگه اوده- وَشَمه زویزات اوده.
پر بار ,ص, پُ, ږڙ اَله پَله زْې شته- وَشَمه اَله پَله بېر بۊ سته- وَشَمه اَله پَله پې تینه ستو ښه تچاست.
پربرکت ,ص, پُ- بَ, بَر اوده-وَشَمه بَر اوده-ږڙ سؤبؤس- وَشَمه سؤبؤس اوده.
پر بها ,ص, پُ- بَ, ږڙ مؤل اوده- وَشَمه مؤل باله سته.
پر بيم ,ص, پُ, ویدۉݩ سته-وَشَمه ویدۉݩ سته- ویدیکه- ږڙ ویدیکه.
پرپر شدن ,مص, پَ- پَ, پَڇَلۉݩ- پوټ پوټ بي پَڇَلۉݩ.
پرپر شده ,ص- مف, پَ,پَڇَلي شته.
پرپر کردن ,مص, پَ, پَڇلَۇݩ- پوټ پوټ که پَڇلَۇݩ- پؤش پوټ پوټ ایچۉݩ.
پر پشم ,ص, پُ- پَ, ږڙ کېݩڅ اوده- وَشَمه وَرَک اوده- ڇْتَکې وَرَک-ڇتکې کېݩڅ.
پر پهنا ,ص, پُ- پَ, ویشتي- وَشَمه ویشتي.
پرتاب ,ا, پَ, نَشۉݩ- چَرَۉݩ وَرناشي سَت که نَشۉݩ-درڙݩ نَشۉݩ-وَرنَشۉݩ.
 پرتاب کردن,مص,پَ,اپراشتیاو وَرنَشۉݩ- اپراشتیاو نَشۉݩ.مثلاً:  درڙݩ نَشۉݩ.
پرتاب و توان ,ص, پُ, کاټ اوده- کټمېچ اوده- بۊسته کټمېچ اوده.
پرت شدن ,مص, پَ, اۉسَلۉݩ- اؤتلَه ټاوی اۉسَلۉݩ.
پرت کردن ,مص, پَ, سؤدؤ نَشۉݩ.
پرتگاه ,ا, پَ, ښاچ- أکڙݩ اۉݩ سته- اؤتله ټاو.
پرتو ,ا, پَ- تَ, ویاݩس- سُوي درَمال.
پرتو افگن ,ص- فا, پَ- تَ, وياݩس ایچَله- ویاݩس ایچَله سته- ویاݩس ایچَله لَتري.
پرتو افگندن ,مص, پَ- تَ, وياݩس ایچۉݩ.
پرثمر ,ص, پُ- ثَ- مَ, وَشَمه اَله پَله بېر بۊ سته- وَشَمه اَله پَله اوده جَلو ښه تچاست.
پرجرأت ,ص, پُ- جُ, زو اوده- گبږه- نه ویدله- بْرؤک اوده .
پرچم ,ا, پَ- چَ, توک-بَیرق.
پرچون ,ق, پَ- چُ,لتري بې پول که وڙݩچوُن-لتري اېک اېک پول که وڙݩچوُݩ ښه تچاست.
پرچین,ا, پَ- چِ, وْڙ- تول به وْڙ- شال به وْڙ.
پرحاصل,ص, پُ- صِ, ږڙ اَله پَله زېله جَله- وَشَمه لاو باله تول ښه. تچاست.
پرحرارت,ص, پُ, وَشَمه تَپِي باس اوده- سی لَتري ته وَشَمه تَپیک ایچاس.
پرحوصله ,ص, پُ- حَ- صِ, اۊله بؤړه اوده.
پرحیله ,ص, پُ- حِ, دْرۉۋټه- اَلک پَلک اوده-ناټ نه ناټ اوده.| اَلک پَلکalək palək - دو رو-آن که به یک قول نیست- سیاست.
پرخار ,ص, پُ, کېڇئک اوده- ڇْتَکې کېڇئک.
پرخاش ,ا, پَ, ڇڙݩله بۉݩ- ابره بېرنَشیک ایچۉݩ- اَښئک اَښئک اۉݩ.
پرخاشجو ,ص- فا, پَ, ڇڙݩله باله سته-ښوچ باله سته.
پرخاش کردن ,مص, پَ, ابره بېرنشیک ایچۉݩ- کۉݩ میلي ڇڙݩله بۉݩ.
پرخاصیت ,ص, پُ- صِ- یَ, اۉل اوده.
پرخچه ,ا, پَ, گرۉش- پيڅݩ- کس تَڅئ ستو به پيڅݩ- دۊۋ پيڅݩ-پَټرکَه.
پرخراش ,ص, پُ- خَ, دْراݩزئ سته-وَشَمه دْراݩزئ سته.
پرخرچ ,ص, پُ- خَ, وَشَمه مؤل آله سته- سی ټؤک کۍ کوي ته تَشو ښه وَشَمه مؤل گېاس.
پرخطر ,ص, پُ- خَ,پؤسوَار- ویدیک اوده- ویدوݩ سته.
پرخنده ,ص, پُ, کنیک مۉشیک اوده- ږڙ کنله جن ښه تچاست.
پرخواب ,ص, پُ, پْروش بَله- سی ته وَشَمه پْروش گېاس.
پرخوار ,ص, پُ, کوڅ بَله- وَرښه نه زڙݩله.
پرخون ,ص, پُ, لَۍ لیپټرۉ- أښېي به أکؤرېشت لَۍ به بۊ سته.
پرداخت ,ا, پَ, څېݩۇݩ- پْرۉݩ -دَني څېݩۇݩ - پَلکنَه ایچۉݩ.
پرداخت کردن ,مص, پَ,دَني څېݩۇݩ- پْرۉݩ سته پْرۉݩ- څېݩۇݩ- پرۉݩسته څېݩۇݩ.
پرداختن ,مص, پَ- تَ,پَلکنَه ایچۉݩ- دَني پْرۉݩ-کي دوشت پې کرَوُݩ.کمک.
پر داغ ,ص, پُ, ږڙ ڇو اوده- اصطلاح که وَشَمه ږۉڇَڇاني اودو ښه تچاست. | ږۉڇَڇاني ẓuc̣ac̣āni– غم- غصه- جگرخونی.
پر دانش ,ص, پُ- نِ, امْترَه زڙݩله- عالم.
پر درآمد ,ص, پُ- مَ, وَشَمه اتراڅله اوده- اینامې اتر اڅله. | اینامې ināme– فراوان- وافر- بی حساب.
پر دوام ,ص,, گبږه - ککړه سته- چیک نه تیله. پ
ردل ,ص, پُ- دِ, زو اوده- یالي- گبږه- نه ویدله- برؤک اوده.| یالي yāli - شجاع- ناترس. | برؤک brük– جرأت.
پرده ,ا, پَ, پېل-کي نه وڙݩلو ښه اې کس اۉلَمَوُݩ ښه تچاست. | پېل pel– پَرده. مثلاً:  انا به پېل- دؤ چیمي کېي به مَیوۋ پېل-اچېݩ که پېل پۍگو تچاست.. پَرده باښ ښه کلښه الا که پېل پېډنگاو باښ او. 
پرده برداشتن ,مص, پَ- بَ, پَرده اویچۉݩ- پَرده پېسکَۇݩ- کس اوړیشته نه چؤنَۇݩ- اوړي شته وڙݩۇݩ-پېل پېسکَۇݩ.
پرده پوش ,ص, پَ, مېلو نه بېرلَسله سته- کۉݩ که نه مَترلَه سته.
پردۀ چشم ,ص, پَ- چَ, اؤبره. سی نیکره پېل ته اچېݩ که پَۍ گېاس.
پرده دریدن ,مص, پَ- دَ, کۉمه نه مَترۉݩ مېله سَپروک که مَترۉݩ ښه- تچاست.
پرده نشین ,ص- فا, پَ- نَ, سی مۊشي ته پَرده ایچاس کۉݩ مؤک نه وڙݩوېاس.
پردیس ,ص, پَ- دِ, اؤرنگه دېش به- اؤرنگه گول به- دېش ویدېش به.
پررو ,ص, پُ- رُ, لَج نه اوده- شرم نه اوده-حیا نه اوده.
پر زحمت ,ص, پُ, بېتات میلي- بېتات کښئ-بېتات اوده- انا ویلاو- اۉدۉپ سَرکاو-اؤډبؤډ میلي. | اۉدۉپ udup– عرق- آب بدن.
پر زور ,ص, پُ- زُ, کاټ اوده- کتمېچ اوده.
پرزه ,ص, پُ, ماشین به وَشتوک لَتري- ماشین به اېک لَتري.
پر زیان ,ص, پُ- زِ,زان اوده- وَشَمه زان اوده. | زان zān– تاوان-خساره.
پرس ,ا, پُ, کؤدوَن-کؤدوُݩ.
پرسان ,ا, پُ, کؤدوَن- کؤدوُݩ.
پرسان وجویان ,ق, پُ, کَۍکوچ ایچۉݩ- نیښټ پۉښټ ایچۉݩ.
پرستار ,ص, پَ, نېمیچو وَۍپا ایچَله جن ښه تچاست.
پرستاری ,ق,, نېمیچه وَۍپا ایچۉݩ- نېمیچه وَۍپا ایچۉݩ کوي.
